  PID   TT  STAT      TIME COMMAND
  247   ??  Ss     0:00.40 Core Audio Driver (BlackHole16ch.driver)
  248   ??  Ss     0:00.04 /usr/libexec/amfid
  249   ??  Ss     0:00.06 /usr/libexec/usbd
  251   ??  S      0:00.06 /usr/sbin/distnoted agent
  252   ??  Ss     0:00.11 /System/Library/Frameworks/CoreMediaIO.framework/Resources/VDC.plugin/Contents/Resources/VDCAssistant
  253   ??  S      0:00.09 /usr/libexec/secinitd
  254   ??  S      0:00.03 /usr/sbin/cfprefsd agent
  255   ??  Ss     0:00.07 /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
  256   ??  S      0:00.20 /usr/libexec/trustd --agent
  264   ??  S      0:00.10 /usr/libexec/containermanagerd --runmode=agent --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
  296   ??  Ss     0:00.30 /usr/libexec/searchpartyd
  298   ??  Ss     0:00.68 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  299   ??  Ss     0:00.03 /System/Library/CoreServices/ReportCrash daemon
  300   ??  S      0:00.06 /usr/sbin/distnoted agent
  301   ??  Ss     0:00.04 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  302   ??  Ss     0:00.07 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar -daemon
  303   ??  Ss     0:00.05 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  304   ??  Ss     0:00.02 /System/Library/PrivateFrameworks/FindMyMac.framework/Resources/FindMyMacd
  305   ??  Ss     0:00.02 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
  307   ??  Ss     0:00.47 /usr/libexec/ApplicationFirewall/socketfilterfw
  310   ??  Ss     0:00.04 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd-helper -launchd
  311   ??  Ss    24:21.08 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
