  PID   TT  STAT      TIME COMMAND
  300   ??  Ss     0:00.06 /System/Library/CoreServices/osanalyticshelper server-init
  301   ??  Ss     0:00.63 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  302   ??  Ss     0:00.03 /System/Library/CoreServices/ReportCrash daemon
  304   ??  Ss     0:00.25 /usr/libexec/ApplicationFirewall/socketfilterfw
  305   ??  Ss     0:00.11 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar -daemon
  306   ??  Ss     0:00.07 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  308   ??  Ss     0:00.02 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
  309   ??  S      0:00.06 /usr/sbin/distnoted agent
  310   ??  Ss     0:00.03 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  311   ??  Ss     0:00.02 /System/Library/PrivateFrameworks/FindMyMac.framework/Resources/FindMyMacd
  313   ??  S      0:00.05 /usr/sbin/distnoted agent
  314   ??  Us    21:37.32 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  318   ??  Ss     0:00.26 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDDrivers 0x100000444 com.apple.AppleUserHIDDrivers
  319   ??  Ss     0:00.02 /usr/libexec/thermald
  327   ??  S      0:00.05 /usr/sbin/distnoted agent
  329   ??  Ss     0:00.10 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
  330   ??  S      0:00.03 /usr/sbin/distnoted agent
  331   ??  Ss     0:01.27 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
  332   ??  Ss     0:00.07 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  333   ??  Ss     0:00.18 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Versions/A/XPCServices/com.apple.MobileSoftwareUpdate.CleanupPreparePathService.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.CleanupPreparePathService
  334   ??  Ss     0:00.08 /System/Library/PrivateFrameworks/SiriInference.framework/Support/siriinferenced
  336   ??  S      0:00.05 /usr/sbin/distnoted agent
  347   ??  Ss     0:00.02 /usr/sbin/BlueTool -R
  348   ??  Ss     0:00.04 /usr/libexec/hidd
  350   ??  S      0:00.05 /usr/sbin/distnoted agent
  351   ??  Ss     0:00.08 /usr/libexec/secinitd
  352   ??  Ss     0:00.03 /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/Contents/MacOS/WiFiCloudAssetsXPCService
  355   ??  Ss     0:00.05 /usr/libexec/colorsync.displayservices
  356   ??  Ss     0:00.06 /usr/libexec/colorsyncd
  357   ??  Ss     0:00.13 /System/Library/CoreServices/appleeventsd --server
  358   ??  Ss     0:00.14 /usr/libexec/wifianalyticsd
  360   ??  Ss     0:00.48 /usr/libexec/locationd
  361   ??  S      0:00.69 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  362   ??  Ss     0:00.03 /usr/libexec/bootinstalld
  364   ??  Ss     0:00.02 /System/Library/PrivateFrameworks/AccountPolicy.framework/XPCServices/com.apple.AccountPolicyHelper.xpc/Contents/MacOS/com.apple.AccountPolicyHelper
  365   ??  Ss     0:00.12 /usr/libexec/symptomsd-diag
  366   ??  S      0:00.31 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  367   ??  Ss     0:00.99 /usr/libexec/sysmond
  370   ??  Ss     0:00.05 /System/Library/Frameworks/GSS.framework/Helpers/GSSCred
  371   ??  Ss     0:00.05 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/AppleCamera.plugin/Contents/Resources/AppleCameraAssistant
  372   ??  S      0:00.05 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
  376   ??  Ss     0:00.06 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  378   ??  S      0:00.72 /usr/sbin/distnoted agent
  379   ??  S      0:03.68 /usr/sbin/cfprefsd agent
  380   ??  Ss     0:00.12 /usr/libexec/securityd_service
  381   ??  S      0:00.67 /usr/libexec/UserEventAgent (Aqua)
  382   ??  Ss     0:00.28 /usr/libexec/gamecontrollerd
  384   ??  S      0:00.29 /usr/sbin/universalaccessd launchd -s
  385   ??  S      0:01.30 /usr/libexec/knowledge-agent
  386   ??  S      0:02.08 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  387   ??  S      0:00.14 /System/Library/CoreServices/talagent
  388   ??  S      0:07.14 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  389   ??  S      0:00.83 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  390   ??  S      0:00.64 /usr/libexec/lsd
  391   ??  S      0:12.50 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  394   ??  S      0:00.02 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
  395   ??  S      0:00.39 /usr/libexec/secd
  396   ??  S      0:01.19 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  397   ??  S      0:00.33 /System/Library/PrivateFrameworks/iTunesCloud.framework/Support/itunescloudd
  398   ??  S      0:00.78 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  399   ??  S      0:00.04 /System/Library/CoreServices/backgroundtaskmanagementagent
  400   ??  S      0:01.61 /usr/libexec/trustd --agent
  401   ??  S      0:00.11 /usr/libexec/pboard
  403   ??  S      0:00.05 /System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy
  404   ??  Ss     0:00.11 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
  405   ??  S      0:00.82 /usr/libexec/pkd
  406   ??  S      0:00.23 /usr/libexec/secinitd
  407   ??  S      0:00.25 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
  408   ??  Ss     0:00.15 /usr/sbin/filecoordinationd
  409   ??  S      0:00.48 /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
  410   ??  S      0:00.37 /usr/libexec/containermanagerd --runmode=agent --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
  411   ??  S      0:00.59 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  412   ??  S      0:00.53 /usr/sbin/usernoted
  413   ??  S      0:01.03 /System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent
