  PID   TT  STAT      TIME COMMAND
    1   ??  Us     1:32.41 /sbin/launchd
   99   ??  Ss     0:32.17 /usr/libexec/logd
  100   ??  Ss     0:12.01 /usr/libexec/UserEventAgent (System)
  103   ??  Ss     0:01.24 /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
  104   ??  Us     2:56.50 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  105   ??  Ss     0:00.79 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  108   ??  Ss     0:53.83 /usr/sbin/systemstats --daemon
  110   ??  Ss     0:01.01 /usr/libexec/configd
  111   ??  Ss     0:00.01 endpointsecurityd
  112   ??  Ss     0:15.56 /System/Library/CoreServices/powerd.bundle/powerd
  113   ??  Ss     0:00.02 /opt/local/bin/daemondo --label=wireshark.ChmodBPF --start-cmd /opt/local/sbin/wireshark-chmodbpf ; --pid=none
  117   ??  Ss     0:00.07 /usr/libexec/remoted
  119   ??  Ss     0:00.85 /usr/libexec/keybagd -t 15
  120   ??  Ss     0:00.19 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
  122   ??  Ss     0:01.58 /usr/libexec/watchdogd
  126   ??  Us    14:17.70 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
  127   ??  Ss     0:00.09 /System/Library/CoreServices/iconservicesd
  128   ??  Ss     0:03.27 /usr/libexec/kernelmanagerd
  129   ??  Ss     0:08.43 /usr/libexec/diskarbitrationd
  132   ??  Ss     0:06.96 /usr/libexec/coreduetd
  133   ??  Ss     0:00.74 /usr/sbin/syslogd
  136   ??  Ss     0:00.03 /usr/libexec/thermalmonitord
  137   ??  Ss     0:43.44 /usr/libexec/opendirectoryd
  138   ??  Ss     0:04.29 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  139   ??  Ss     0:03.94 /System/Library/CoreServices/launchservicesd
  140   ??  Ss     0:00.20 /usr/libexec/timed
  141   ??  Ss     0:00.26 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
  142   ??  Ss     0:00.49 /usr/sbin/securityd -i
  143   ??  Ss     0:00.01 auditd -l
  148   ??  Ss     0:00.02 autofsd
  149   ??  Ss     0:00.08 /usr/libexec/displaypolicyd -k 1
  150   ??  Ss     0:16.94 /usr/libexec/dasd
  152   ??  Ss     0:00.23 /usr/sbin/distnoted daemon
  153   ??  Ss     0:00.05 /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
  154   ??  Ss     0:17.95 /usr/libexec/PerfPowerServices
  156   ??  Ss     0:00.10 /System/Library/CoreServices/logind
  157   ??  Ss     0:00.18 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  158   ??  Ss     0:00.02 /usr/sbin/KernelEventAgent
  160   ??  Ss     0:00.98 /usr/sbin/bluetoothd
  161   ??  Ss     0:20.29 /usr/sbin/notifyd
  162   ??  Ss     0:00.10 /usr/libexec/sandboxd
  163   ??  Ss     0:08.52 /usr/libexec/corebrightnessd --launchd
  164   ??  Ss     0:00.42 /usr/libexec/AirPlayXPCHelper
  165   ??  Ss     0:00.08 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
  166   ??  Ss     0:29.37 /usr/sbin/cfprefsd daemon
  167   ??  Ss     0:00.80 /usr/libexec/taskgated
  168   ??  Ss     0:07.01 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd system
  169   ??  Ss     0:00.05 aslmanager
