  PID   TT  STAT      TIME COMMAND
    1   ??  Ss     0:54.12 /sbin/launchd
   99   ??  Ss     0:21.69 /usr/libexec/logd
  100   ??  Ss     0:07.86 /usr/libexec/UserEventAgent (System)
  103   ??  Ss     0:00.87 /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
  104   ??  Us     2:04.92 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  105   ??  Ss     0:00.75 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  108   ??  Ss     0:28.20 /usr/sbin/systemstats --daemon
  110   ??  Ss     0:00.97 /usr/libexec/configd
  111   ??  Ss     0:00.01 endpointsecurityd
  112   ??  Ss     0:12.03 /System/Library/CoreServices/powerd.bundle/powerd
  113   ??  Ss     0:00.02 /opt/local/bin/daemondo --label=wireshark.ChmodBPF --start-cmd /opt/local/sbin/wireshark-chmodbpf ; --pid=none
  117   ??  Ss     0:00.07 /usr/libexec/remoted
  119   ??  Ss     0:00.74 /usr/libexec/keybagd -t 15
  120   ??  Ss     0:00.19 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
  122   ??  Ss     0:01.10 /usr/libexec/watchdogd
  126   ??  Ss    11:09.30 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
  127   ??  Ss     0:00.08 /System/Library/CoreServices/iconservicesd
  128   ??  Ss     0:03.27 /usr/libexec/kernelmanagerd
  129   ??  Ss     0:05.33 /usr/libexec/diskarbitrationd
  132   ??  Ss     0:06.44 /usr/libexec/coreduetd
  133   ??  Ss     0:00.58 /usr/sbin/syslogd
  136   ??  Ss     0:00.03 /usr/libexec/thermalmonitord
  137   ??  Ss     0:28.73 /usr/libexec/opendirectoryd
  138   ??  Ss     0:03.24 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  139   ??  Ss     0:03.32 /System/Library/CoreServices/launchservicesd
  140   ??  Ss     0:00.17 /usr/libexec/timed
  141   ??  Ss     0:00.25 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
  142   ??  Ss     0:00.45 /usr/sbin/securityd -i
  143   ??  Ss     0:00.01 auditd -l
  148   ??  Ss     0:00.02 autofsd
  149   ??  Ss     0:00.07 /usr/libexec/displaypolicyd -k 1
  150   ??  Ss     0:14.14 /usr/libexec/dasd
  152   ??  Ss     0:00.21 /usr/sbin/distnoted daemon
  153   ??  Ss     0:00.05 /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
  154   ??  Ss     0:12.42 /usr/libexec/PerfPowerServices
  156   ??  Ss     0:00.10 /System/Library/CoreServices/logind
  157   ??  Ss     0:00.17 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  158   ??  Ss     0:00.02 /usr/sbin/KernelEventAgent
  160   ??  Ss     0:00.87 /usr/sbin/bluetoothd
  161   ??  Ss     0:12.70 /usr/sbin/notifyd
  162   ??  Ss     0:00.10 /usr/libexec/sandboxd
  163   ??  Ss     0:01.80 /usr/libexec/corebrightnessd --launchd
  164   ??  Ss     0:00.39 /usr/libexec/AirPlayXPCHelper
  165   ??  Ss     0:00.08 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
  166   ??  Ss     0:17.77 /usr/sbin/cfprefsd daemon
  167   ??  Ss     0:00.77 /usr/libexec/taskgated
  168   ??  Ss     0:06.08 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd system
  169   ??  Ss     0:00.05 aslmanager
  170   ??  Ss    18:07.91 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
  171   ??  Ss     0:10.56 /usr/libexec/trustd
  172   ??  Ss     0:02.51 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
  173   ??  Ss     0:18.37 /usr/libexec/syspolicyd
  175   ??  Ss     0:13.38 /usr/libexec/runningboardd
  176   ??  Ss     0:03.43 /System/Library/CoreServices/coreservicesd
  180   ??  Ss     0:00.35 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  182   ??  S      0:00.07 /usr/sbin/distnoted agent
  189   ??  Ss     0:01.08 /usr/libexec/airportd
  202   ??  Ss     0:02.25 /usr/sbin/coreaudiod
