  PID   TT  STAT      TIME COMMAND
  463   ??  S      0:01.24 /usr/libexec/triald
  464   ??  S      0:00.07 /System/Library/CoreServices/pbs
  465   ??  S      0:00.91 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
  466   ??  S      0:00.07 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
  467   ??  S      0:00.12 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
  468   ??  S      0:00.13 /System/Library/PrivateFrameworks/CoreParsec.framework/parsec-fbf
  469   ??  S      0:00.10 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
  470   ??  Ss     0:00.36 /usr/sbin/systemsoundserverd
  471   ??  S      0:00.11 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
  472   ??  S      0:00.23 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
  473   ??  S      0:00.37 /usr/libexec/dmd
  474   ??  S      0:01.01 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
  475   ??  Ss     0:03.99 /System/Library/CoreServices/Clock.app/Contents/PlugIns/WorldClockWidget.appex/Contents/MacOS/WorldClockWidget -AppleLanguages ("en-US")
  476   ??  Ss     0:01.83 /System/Applications/News.app/Contents/PlugIns/NewsToday2.appex/Contents/MacOS/NewsToday2 -AppleLanguages ("en-US")
  477   ??  S      0:00.08 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
  478   ??  Ss     0:00.05 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -s
  479   ??  S      0:00.04 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  480   ??  Ss     0:00.60 /System/Library/CoreServices/ClimateProxy.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget -AppleLanguages ("en-US")
  481   ??  Ss     0:03.40 /System/Applications/Stocks.app/Contents/PlugIns/StocksWidget.appex/Contents/MacOS/StocksWidget -AppleLanguages ("en-US")
  482   ??  Ss     0:01.62 /System/Library/CoreServices/Screen Time.app/Contents/PlugIns/ScreenTimeWidgetExtension.appex/Contents/MacOS/ScreenTimeWidgetExtension -AppleLanguages ("en-US")
  483   ??  S      0:01.12 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
  484   ??  Ss     0:00.19 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/CarbonComponentScannerXPC.xpc/Contents/MacOS/CarbonComponentScannerXPC
  485   ??  S      0:00.23 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  486   ??  S      0:00.05 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  487   ??  S      0:00.51 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  488   ??  S      0:00.34 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start
  489   ??  Ss     0:00.08 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/XPCServices/com.apple.FaceTime.FTConversationService.xpc/Contents/MacOS/com.apple.FaceTime.FTConversationService
