Video ID,Approx Duration (ms),Video Audio Language,Video Category,Video Description (Original),Video Description (Original) Language,Channel ID,Video Title (Original),Video Title (Original) Language,Privacy,Video State,Video Create Timestamp,Video Publish Timestamp
bir7RyCI4Fo,5000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,"ABQ LaVentana (McDonald) apartment - Kush, American cat in Bogota - Good memory last months together",en-US,Unlisted,Processed,2024-06-08T17:13:44+00:00,2024-06-11T19:20:27+00:00
pIsGHwP_zoM,6000,zxx,People,"When predators do not bother to hide things like surveillance in your personal residence, they will kill you, right? I stopped breathing in Casper in a Tesla car rigged to pump nitrous and carbon monoxide gas in a sick VR game for psychos. I talked to God (I do not like the lack of continuity). Then I gasped and grabbed for Kush (American cat) and huddled under a blanket I luckily bought at Bed Bath and Beyond the night before in a subzero blizzard. The animal control people there are good with me. FUCK TRUMP!!!",en-US,UCqSYEc4R7Vp4h233TQECEIw,ABQ LaVentana (McDonald) apartment - Obvious surveillance - VID_20221005_142003062,en-US,Unlisted,Processed,2024-06-08T17:13:45+00:00,2024-06-17T21:14:07+00:00
S2odyyNW1B0,12000,zxx,People,"When predators do not bother to hide things like surveillance in your personal residence, they will kill you, right? I stopped breathing in Casper in a Tesla car rigged to pump nitrous and carbon monoxide gas in a sick VR game for psychos. I talked to God (I do not like the lack of continuity). Then I gasped and grabbed for Kush (American cat) and huddled under a blanket I luckily bought at Bed Bath and Beyond the night before in a subzero blizzard. The animal control people there are good with me. FUCK TRUMP!!!",en-US,UCqSYEc4R7Vp4h233TQECEIw,ABQ LaVentana (McDonald) apartment - Obvious surveillance - VID_20221005_142047056,en-US,Unlisted,Processed,2024-06-08T17:13:47+00:00,2024-06-17T21:13:31+00:00
HiAoyhC9Hsw,8000,zxx,People,"When predators do not bother to hide things like surveillance in your personal residence, they will kill you, right? I stopped breathing in Casper in a Tesla car rigged to pump nitrous and carbon monoxide gas in a sick VR game for psychos. I talked to God (I do not like the lack of continuity). Then I gasped and grabbed for Kush (American cat) and huddled under a blanket I luckily bought at Bed Bath and Beyond the night before in a subzero blizzard. The animal control people there are good with me. FUCK TRUMP!!!",en-US,UCqSYEc4R7Vp4h233TQECEIw,ABQ LaVentana (McDonald) apartment - Obvious surveillance - VID_20221005_145147380,en-US,Unlisted,Processed,2024-06-08T17:13:48+00:00,2024-06-17T21:12:51+00:00
 -gZzD6sIcSg,8000,zxx,People,"When predators do not bother to hide things like surveillance in your personal residence, they will kill you, right? I stopped breathing in Casper in a Tesla car rigged to pump nitrous and carbon monoxide gas in a sick VR game for psychos. I talked to God (I do not like the lack of continuity). Then I gasped and grabbed for Kush (American cat) and huddled under a blanket I luckily bought at Bed Bath and Beyond the night before in a subzero blizzard. The animal control people there are good with me. FUCK TRUMP!!!",en-US,UCqSYEc4R7Vp4h233TQECEIw,ABQ LaVentana (McDonald) apartment - Obvious surveillance - VID_20221005_145247030,en-US,Unlisted,Processed,2024-06-08T17:13:50+00:00,2024-06-17T21:12:16+00:00
jYVRIDLznWU,5000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,ABQ LaVentana (MCDonald) apartment -  Semen on my toothbrush?!? - VID 20221005_145302117,en-US,Unlisted,Processed,2024-06-08T17:13:52+00:00,2024-06-17T21:08:35+00:00
0oPzpoZTBgg,4000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,ABQ LaVentana (McDonald) apartments - Screwed up mock CSI for sexual predators - 10/13/2022,en-US,Unlisted,Processed,2024-06-08T17:13:53+00:00,2024-06-17T15:59:42+00:00
Lya7_jzcApY,13000,zxx,People,MIB at/near Area51: We're here if you need us. Some Russian special ops came in dressed in my bright spring plaid shirt to brush by me holding my breath to get down the elevator when chloroform cannisters were released by these right-wing nut jobs. He returned the shirt and helped me get through Yellowstone (nice on the Ocean's Eleven food reference :)) with some hints about blockers and broadcasts in that scary area. It is what it is...,en-US,UCqSYEc4R7Vp4h233TQECEIw,ABQ stalking from high school - Men in Black block to shoot - Hitchcock scence - 20221022_011454560,en-US,Unlisted,Processed,2024-06-08T17:13:54+00:00,2024-06-08T17:22:02+00:00
gejiIpkza_0,4000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Driving like a bat out of Hell over a spaceship into 'Rawlins WY) - 20221102_230557075,en-US,Unlisted,Processed,2024-06-08T17:13:56+00:00,2024-06-08T17:19:35+00:00
Tz-CoK_u-HY,6000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Into Yellowstone Casper Maverick Gas Station - Obligatory Simpson's reference - 20221108_154746910,en-US,Unlisted,Processed,2024-06-08T17:13:58+00:00,2024-06-08T17:18:05+00:00
8gHDGVDeQ7I,50000,zxx,People,"I love you back, Don Lemon!!! :) They need more penis balloon vendors and large cutting scissors like the Gremlins 2 building ribbon ceremony for Trump's next court house. Awesome!",en-US,UCqSYEc4R7Vp4h233TQECEIw,"Don Lemon Show audio retweet - James Comey  - Organized mobs, never again, and Trump penis balloons",en-US,Unlisted,Processed,2024-06-11T19:12:00+00:00,2024-06-11T19:18:07+00:00
XWl9g0BsX28,70000,zxx,People,"I love you back, Don Lemon!!! :)",en-US,UCqSYEc4R7Vp4h233TQECEIw,Don Lemon Show audio retweet - Dr. Cornell West  - Truth about justice includes South Side Chicago,en-US,Unlisted,Processed,2024-06-11T19:12:21+00:00,2024-06-11T19:14:45+00:00
IjtinIzc7IA,61000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,OTH: Google Drive - Unusual email mailbox sizes and file names - What are they getting away with?,en-US,Unlisted,Processed,2024-06-17T17:39:13+00:00,2024-06-17T17:40:27+00:00
79my1qRsA1Y,302000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20190821_213007,en-US,Unlisted,Processed,2024-06-17T19:30:47+00:00,2024-06-17T20:37:04+00:00
ZHOyLBF8ERQ,321000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20190821_213941,en-US,Unlisted,Processed,2024-06-17T19:30:57+00:00,2024-06-17T20:37:31+00:00
qL1J6KOK9FU,38000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20190821_224142,en-US,Unlisted,Processed,2024-06-17T19:31:37+00:00,2024-06-17T20:37:53+00:00
V8aa7bsRnqI,9000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20201107_195758132,en-US,Unlisted,Processed,2024-06-17T19:34:20+00:00,2024-06-17T20:42:21+00:00
7ir4IyJtuJY,14000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20201113_191142419,en-US,Unlisted,Processed,2024-06-17T19:34:25+00:00,2024-06-17T20:40:28+00:00
 -lAPbn7CcjE,31000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20201208_054856088,en-US,Unlisted,Processed,2024-06-17T19:34:36+00:00,2024-06-17T20:42:47+00:00
BK0-4FJ2IBQ,56000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20201208_055758089,en-US,Unlisted,Processed,2024-06-17T19:34:42+00:00,2024-06-17T20:43:06+00:00
xEAE1vZtyt8,21000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20201208_060004444,en-US,Unlisted,Processed,2024-06-17T19:34:56+00:00,2024-06-17T20:43:26+00:00
KQ_rBVeHmJQ,7000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20201209_041331483,en-US,Unlisted,Processed,2024-06-17T19:36:07+00:00,2024-06-17T20:44:48+00:00
z63Jp1S79vI,1000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20201210_190533180,en-US,Unlisted,Processed,2024-06-17T19:36:09+00:00,2024-06-17T20:40:08+00:00
g02tTwsDk2I,1000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20190505_121822,en-US,Unlisted,Processed,2024-06-17T19:36:10+00:00,2024-06-17T20:29:35+00:00
Y-d-iqt-aVE,3000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20190619_112605,en-US,Unlisted,Processed,2024-06-17T19:36:11+00:00,2024-06-17T20:33:04+00:00
90MHhkNWH48,50000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20190821_203550,en-US,Unlisted,Processed,2024-06-17T19:36:12+00:00,2024-06-17T20:38:13+00:00
r1nScmvUj4Y,29000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20190821_212330,en-US,Unlisted,Processed,2024-06-17T19:36:14+00:00,2024-06-17T20:38:30+00:00
TDNkKDR4C2s,23000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20190821_215143,en-US,Unlisted,Processed,2024-06-17T19:36:15+00:00,2024-06-17T20:38:47+00:00
QyN2q_3stOY,19000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20190821_220136,en-US,Unlisted,Processed,2024-06-17T19:36:16+00:00,2024-06-17T20:39:13+00:00
NB3dPY_k0pc,28000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20190821_222404,en-US,Unlisted,Processed,2024-06-17T19:36:18+00:00,2024-06-17T20:34:41+00:00
KQmc5cDC6Ak,4000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20191225_144851,en-US,Unlisted,Processed,2024-06-17T19:36:19+00:00,2024-06-17T20:35:02+00:00
cWy_8ohfi14,7000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20221005_142003062,en-US,Unlisted,Processed,2024-06-17T19:38:13+00:00,2024-06-17T21:07:37+00:00
XbTnL2qiVtg,12000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20221005_142047056,en-US,Unlisted,Processed,2024-06-17T19:39:16+00:00,2024-06-17T21:07:17+00:00
Ulma6ODr6nE,8000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20221005_145147380,en-US,Unlisted,Processed,2024-06-17T19:39:17+00:00,2024-06-17T21:03:07+00:00
e3ZKFzDHeXk,8000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20221005_145247030,en-US,Unlisted,Processed,2024-06-17T19:39:18+00:00,2024-06-17T21:02:46+00:00
6IeZhjahs2U,5000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20221005_145302117,en-US,Unlisted,Processed,2024-06-17T19:39:20+00:00,2024-06-17T21:02:24+00:00
HTW5YNAe2Xg,5000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20221005_150220007,en-US,Unlisted,Processed,2024-06-17T19:39:21+00:00,2024-06-17T20:49:48+00:00
uyDjSFh6dP4,4000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20221013_182030908,en-US,Unlisted,Processed,2024-06-17T19:39:22+00:00,2024-06-17T21:02:05+00:00
6cbB0iaWF_o,13000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20221022_011454560,en-US,Unlisted,Processed,2024-06-17T19:39:23+00:00,2024-06-17T20:49:25+00:00
El5D7b6Jalw,6000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20221108_154746910,en-US,Unlisted,Processed,2024-06-17T19:39:25+00:00,2024-06-17T20:47:53+00:00
JlRUiCI3BZE,4000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20221102_230557075,en-US,Unlisted,Processed,2024-06-17T19:39:25+00:00,2024-06-17T20:47:31+00:00
nMYVhvWHrRo,41000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20220818_024146590,en-US,Unlisted,Processed,2024-06-17T19:39:53+00:00,2024-06-17T21:01:46+00:00
r8Qv3TsdNNs,1000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20220820_193307389,en-US,Unlisted,Processed,2024-06-17T19:40:02+00:00,2024-06-17T20:46:20+00:00
a3XGgV0Fy6c,5000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20220831_212628158,en-US,Unlisted,Processed,2024-06-17T19:40:03+00:00,2024-06-17T21:01:27+00:00
zfRHRgIRDrE,17000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20220831_215236297,en-US,Unlisted,Processed,2024-06-17T19:40:05+00:00,2024-06-17T21:00:55+00:00
aveY6lukA8c,13000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20220831_220931475,en-US,Unlisted,Processed,2024-06-17T19:40:10+00:00,2024-06-17T21:00:36+00:00
hqiYOo3Nvnk,3000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20220901_002820597,en-US,Unlisted,Processed,2024-06-17T19:40:59+00:00,2024-06-17T20:46:01+00:00
nSY9b8NPz-k,3000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20220901_040828728,en-US,Unlisted,Processed,2024-06-17T19:41:01+00:00,2024-06-17T21:00:12+00:00
XqVPMuErzFM,5000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20220901_072436867,en-US,Unlisted,Processed,2024-06-17T19:41:51+00:00,2024-06-17T20:59:49+00:00
iQfpdK_e-so,4000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20220901_085532579,en-US,Unlisted,Processed,2024-06-17T19:41:53+00:00,2024-06-17T20:59:32+00:00
tqT3wN5qGVA,1000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20220903_024234401,en-US,Unlisted,Processed,2024-06-17T19:41:57+00:00,2024-06-17T20:45:24+00:00
3qWIfeIGvlc,5000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20220927_184425570,en-US,Unlisted,Processed,2024-06-17T19:41:59+00:00,2024-06-17T20:45:44+00:00
Kmva08AUVeg,5000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Google photos - Maxieds - Github companion - VID_20220927_222653160,en-US,Unlisted,Processed,2024-06-17T19:42:09+00:00,2024-06-17T20:50:25+00:00
ivWdgtyJXvY,13000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Juneteenth - Trumpian Mario plumber insult - Short take one,en-US,Unlisted,Processed,2024-06-21T16:16:21+00:00,2024-06-21T16:18:36+00:00
r-tjiuoOd9w,32000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Jeneteenth Mario insult - Freedom and sunnyside eggs (Woody Allen: I really just want the eggs),en-US,Unlisted,Processed,2024-06-21T16:16:25+00:00,2024-06-21T16:19:50+00:00
R-AhhTmfpUg,639000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Darkweb Nokia flip phone - boot details,en-US,Public,Processed,2024-07-05T16:34:50+00:00,2024-11-30T16:13:53+00:00
S51nD0pp-tc,114000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,"Hey, dad (DES) - No Audio (unfortunately) - V2",en-US,Unlisted,Processed,2024-07-05T16:37:18+00:00,2024-11-30T16:14:39+00:00
rw1cVVewqj0,62000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Federal cats in a shitty run down apartment - Huzzah - George and Puff 'n Stuff in rare form,en-US,Unlisted,Processed,2024-07-05T16:37:20+00:00,2024-11-30T16:12:52+00:00
YZtE8r1tKIk,19000,zxx,People,Original video link: https://youtu.be/XY1bMvSYKM0,en-US,UCqSYEc4R7Vp4h233TQECEIw,Post Chicago CTA Red Line Roosevelt - First video mentioned Elon Musk + controversy - Bloody Hell2!!,en-US,Unlisted,Processed,2024-07-05T16:37:36+00:00,2024-07-19T16:54:15+00:00
sdC0ybHK-ac,38000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,FUCK TRUMP - Social media flub-ups from Howard Brown Health Chicago lab,en-US,Unlisted,Processed,2024-07-05T16:37:42+00:00,2024-11-30T16:22:43+00:00
XY1bMvSYKM0,53000,zxx,People,A non-CTA worker in a 44 (Nazi SS reference; see two videos on my channel) keyed into a station utility closet. My left thumb was bleeding all over me. I noticed that after I walked down the line to get on the back car of the train towards Howard :(,en-US,UCqSYEc4R7Vp4h233TQECEIw,Chicago CTA Red Line Roosevelt - Cave drawings - Commentary: Elon Musk + carbonized human a-bomb ref,en-US,Unlisted,Processed,2024-07-05T16:37:55+00:00,2024-07-19T16:52:16+00:00
S6Mx8Ifh1kg,71000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Don Lemon Show - Van Lathan higher learning 8-bucks - Audio retweet,en-US,Unlisted,Processed,2024-07-05T16:38:08+00:00,2024-11-30T16:11:55+00:00
shI-TR3kWLc,20000,zxx,People,Original video link: https://youtu.be/XY1bMvSYKM0,en-US,UCqSYEc4R7Vp4h233TQECEIw,Post Chicago CTA Red Line Roosevelt - First video mentioned Elon Musk + controversy - Bloody Hell!!,en-US,Unlisted,Processed,2024-07-05T16:38:41+00:00,2024-07-19T16:53:42+00:00
GkEwBetlixI,58000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,OTH - Last July 4th (2024) - Confirmation they listen to me,en-US,Unlisted,Processed,2024-07-08T20:57:17+00:00,2024-11-30T16:10:58+00:00
KYQoTR8CrWk,253000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,"Chicago stalking - Flies, parasites, Project 2025, Trump shooting info NPR says FBI investigating",en-US,Unlisted,Processed,2024-07-16T21:52:52+00:00,2024-07-16T22:02:09+00:00
