Video ID,Video Text Create Timestamp,Video Description Text Segments 1,Video Title Text Segments 1,Video Text Update Timestamp
90MHhkNWH48,2024-06-17T20:38:12.791915+00:00,,Google photos - Maxieds - Github companion - VID_20190821_203550,2024-06-17T20:38:12.791915+00:00
r1nScmvUj4Y,2024-06-17T20:38:29.799947+00:00,,Google photos - Maxieds - Github companion - VID_20190821_212330,2024-06-17T20:38:29.799947+00:00
TDNkKDR4C2s,2024-06-17T20:38:47.472696+00:00,,Google photos - Maxieds - Github companion - VID_20190821_215143,2024-06-17T20:38:47.472696+00:00
QyN2q_3stOY,2024-06-17T20:39:13.048934+00:00,,Google photos - Maxieds - Github companion - VID_20190821_220136,2024-06-17T20:39:13.048934+00:00
NB3dPY_k0pc,2024-06-17T20:34:41.448952+00:00,,Google photos - Maxieds - Github companion - VID_20190821_222404,2024-06-17T20:34:41.448952+00:00
KQmc5cDC6Ak,2024-06-17T20:35:01.769638+00:00,,Google photos - Maxieds - Github companion - VID_20191225_144851,2024-06-17T20:35:01.769638+00:00
cWy_8ohfi14,2024-06-17T21:07:36.44916+00:00,,Google photos - Maxieds - Github companion - VID_20221005_142003062,2024-06-17T21:07:36.44916+00:00
XbTnL2qiVtg,2024-06-17T21:07:17.189814+00:00,,Google photos - Maxieds - Github companion - VID_20221005_142047056,2024-06-17T21:07:17.189814+00:00
Ulma6ODr6nE,2024-06-17T21:03:07.163661+00:00,,Google photos - Maxieds - Github companion - VID_20221005_145147380,2024-06-17T21:03:07.163661+00:00
e3ZKFzDHeXk,2024-06-17T21:02:45.622483+00:00,,Google photos - Maxieds - Github companion - VID_20221005_145247030,2024-06-17T21:02:45.622483+00:00
6IeZhjahs2U,2024-06-17T21:02:24.635038+00:00,,Google photos - Maxieds - Github companion - VID_20221005_145302117,2024-06-17T21:02:24.635038+00:00
HTW5YNAe2Xg,2024-06-17T20:49:48.360729+00:00,,Google photos - Maxieds - Github companion - VID_20221005_150220007,2024-06-17T20:49:48.360729+00:00
uyDjSFh6dP4,2024-06-17T21:02:04.699162+00:00,,Google photos - Maxieds - Github companion - VID_20221013_182030908,2024-06-17T21:02:04.699162+00:00
6cbB0iaWF_o,2024-06-17T20:48:14.756645+00:00,,Google photos - Maxieds - Github companion - VID_20221022_011454560,2024-06-17T20:48:14.756645+00:00
El5D7b6Jalw,2024-06-17T20:47:53.294562+00:00,,Google photos - Maxieds - Github companion - VID_20221108_154746910,2024-06-17T20:47:53.294562+00:00
JlRUiCI3BZE,2024-06-17T20:46:44.797239+00:00,,Google photos - Maxieds - Github companion - VID_20221102_230557075,2024-06-17T20:46:44.797239+00:00
nMYVhvWHrRo,2024-06-17T21:01:46.106264+00:00,,Google photos - Maxieds - Github companion - VID_20220818_024146590,2024-06-17T21:01:46.106264+00:00
r8Qv3TsdNNs,2024-06-17T20:46:20.574568+00:00,,Google photos - Maxieds - Github companion - VID_20220820_193307389,2024-06-17T20:46:20.574568+00:00
a3XGgV0Fy6c,2024-06-17T21:01:26.757973+00:00,,Google photos - Maxieds - Github companion - VID_20220831_212628158,2024-06-17T21:01:26.757973+00:00
zfRHRgIRDrE,2024-06-17T21:00:55.081075+00:00,,Google photos - Maxieds - Github companion - VID_20220831_215236297,2024-06-17T21:00:55.081075+00:00
aveY6lukA8c,2024-06-17T21:00:35.590468+00:00,,Google photos - Maxieds - Github companion - VID_20220831_220931475,2024-06-17T21:00:35.590468+00:00
hqiYOo3Nvnk,2024-06-17T20:46:00.676754+00:00,,Google photos - Maxieds - Github companion - VID_20220901_002820597,2024-06-17T20:46:00.676754+00:00
nSY9b8NPz-k,2024-06-17T21:00:12.129992+00:00,,Google photos - Maxieds - Github companion - VID_20220901_040828728,2024-06-17T21:00:12.129992+00:00
XqVPMuErzFM,2024-06-17T20:59:48.932789+00:00,,Google photos - Maxieds - Github companion - VID_20220901_072436867,2024-06-17T20:59:48.932789+00:00
iQfpdK_e-so,2024-06-17T20:59:31.499266+00:00,,Google photos - Maxieds - Github companion - VID_20220901_085532579,2024-06-17T20:59:31.499266+00:00
tqT3wN5qGVA,2024-06-17T20:45:23.523397+00:00,,Google photos - Maxieds - Github companion - VID_20220903_024234401,2024-06-17T20:45:23.523397+00:00
3qWIfeIGvlc,2024-06-17T20:45:43.923733+00:00,,Google photos - Maxieds - Github companion - VID_20220927_184425570,2024-06-17T20:45:43.923733+00:00
Kmva08AUVeg,2024-06-17T20:50:24.953676+00:00,,Google photos - Maxieds - Github companion - VID_20220927_222653160,2024-06-17T20:50:24.953676+00:00
ivWdgtyJXvY,2024-06-21T16:17:51.059616+00:00,,Juneteenth - Trumpian Mario plumber insult - Short take one,2024-06-21T16:18:23.93502+00:00
r-tjiuoOd9w,2024-06-21T16:19:15.195814+00:00,,Jeneteenth Mario insult - Freedom and sunnyside eggs (Woody Allen: I really just want the eggs),2024-06-21T16:19:39.005718+00:00
R-AhhTmfpUg,2024-11-30T16:13:44.724092+00:00,,Darkweb Nokia flip phone - boot details,2024-11-30T16:13:44.724092+00:00
S51nD0pp-tc,2024-11-30T16:14:20.055133+00:00,,"Hey, dad (DES) - No Audio (unfortunately) - V2",2024-11-30T16:14:30.901139+00:00
rw1cVVewqj0,2024-11-30T16:12:42.617244+00:00,,Federal cats in a shitty run down apartment - Huzzah - George and Puff 'n Stuff in rare form,2024-11-30T16:12:42.617244+00:00
YZtE8r1tKIk,2024-07-19T16:53:59.423072+00:00,Original video link: https://youtu.be/XY1bMvSYKM0,Post Chicago CTA Red Line Roosevelt - First video mentioned Elon Musk + controversy - Bloody Hell2!!,2024-07-19T16:54:14.762683+00:00
sdC0ybHK-ac,2024-11-30T16:22:33.370699+00:00,,FUCK TRUMP - Social media flub-ups from Howard Brown Health Chicago lab,2024-11-30T16:22:33.370699+00:00
XY1bMvSYKM0,2024-07-19T16:50:15.888062+00:00,A non-CTA worker in a 44 (Nazi SS reference; see two videos on my channel) keyed into a station utility closet. My left thumb was bleeding all over me. I noticed that after I walked down the line to get on the back car of the train towards Howard :(,Chicago CTA Red Line Roosevelt - Cave drawings - Commentary: Elon Musk + carbonized human a-bomb ref,2024-07-19T16:51:51.445959+00:00
S6Mx8Ifh1kg,2024-11-30T16:11:54.994835+00:00,,Don Lemon Show - Van Lathan higher learning 8-bucks - Audio retweet,2024-11-30T16:11:54.994835+00:00
shI-TR3kWLc,2024-07-19T16:53:08.165489+00:00,Original video link: https://youtu.be/XY1bMvSYKM0,Post Chicago CTA Red Line Roosevelt - First video mentioned Elon Musk + controversy - Bloody Hell!!,2024-07-19T16:53:36.228505+00:00
GkEwBetlixI,2024-11-30T16:10:33.946202+00:00,,OTH - Last July 4th (2024) - Confirmation they listen to me,2024-11-30T16:10:49.432694+00:00
KYQoTR8CrWk,2024-07-16T21:59:18.265962+00:00,,"Chicago stalking - Flies, parasites, Project 2025, Trump shooting info NPR says FBI investigating",2024-07-16T22:01:54.98737+00:00
36pMQiLjNRQ,2024-07-16T21:56:13.523126+00:00,"LINKS: 
(1) https://github.com/maxieds/public-file-stashes/tree/main/ipad-darkweb-analytics-logs (Github/maxieds/public-file-stashes - ipad-darkweb-analytics-logs)
(2) https://github.com/maxieds/public-file-stashes/blob/main/ipad-darkweb-analytics-logs/new-year-2024-rhymes-with-hey-lon_contd_v5/README.md (Github/maxieds/public-file-stashes - ipad-darkweb-analytics-logs/new-year-2024-rhymes-with-hey-lon_contd_v5 README)","FYI - No new darkweb analytics logs in weeks - Mission accomplished (Trump, Jan6, Twitter DMs)?!?",2024-07-16T21:58:02.684973+00:00
etXBgn1K12A,2024-09-20T17:38:31.395876+00:00,"Yes, they did.",South Shore Chicago apartment destroyed (night) - Living near the X/mob - IMG_2137,2024-09-20T17:40:18.961763+00:00
t7CCCPFs2K0,2024-09-20T17:39:44.644542+00:00,"Yes, they did.",South Shore Chicago apartment destroyed (daylight) - Living near the X/mob - IMG_2137,2024-09-20T17:39:44.644542+00:00
4p88ud46IL4,2024-11-30T16:09:24.546589+00:00,,Chicago - South Shore Clyde apartment - Aftermath - night toilet overflow reaction,2024-11-30T16:09:24.546589+00:00
EK3S8QfOg1o,2024-08-03T17:17:23.787845+00:00,,Elon Musk is busted - Satanism and big government - Check videos about him as Iranian on the darkweb,2024-08-03T17:18:12.477238+00:00
SDEABCVBIIA,2024-08-03T17:18:33.161462+00:00,,Elon Musk is busted - Satanism and big government - Check videos about him as Iranian on darkweb II,2024-08-03T17:18:50.269936+00:00
