Traffic source,Views,Watch time (hours),Impressions,Impressions click-through rate (%)
Total,348,1.297,9634,0.97
Shorts feed,214,0.1042,,
Suggested videos,82,0.6042,8736,0.82
YouTube search,32,0.0979,664,2.56
Channel pages,13,0.4728,150,2.67
Direct or unknown,5,0.0173,,
Browse features,2,0.0007,46,0
Other YouTube features,0,0,,
Playlists,,,38,0
