Processes: 473 total, 9 running, 14 stuck, 450 sleeping, 4972 threads 
2026/05/25 23:28:39
Load Avg: 15.43, 13.31, 12.90 
CPU usage: 21.11% user, 52.49% sys, 26.39% idle 
SharedLibs: 179M resident, 50M data, 11M linkedit.
MemRegions: 222600 total, 523M resident, 20M private, 205M shared.
PhysMem: 8165M used (3239M wired), 26M unused.
VM: 16T vsize, 3153M framework vsize, 982560330(0) swapins, 987525651(0) swapouts.
Networks: packets: 30873200/36G in, 15576389/14G out.
Disks: 35553684/3967G read, 28735045/3868G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS    %CPU_ME %CPU_OTHRS UID FAULTS    COW    MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW       PAGEINS IDLEW    POWER INSTRS CYCLES USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
32161  installd         0.0  00:00.07 4     3   49     1144K 0B    1044K 32161 1     sleeping *0[3]     0.00000 0.00000    0   1903      154    2435      1210      1172      1883      428       4       3        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
32160  aned             0.0  00:00.06 3     2   36     1020K 0B    928K  32160 1     sleeping *0[3]     0.00000 0.00000    0   2220      136    118       56        933       256       327       3       0        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
32159  geodMachServiceB 0.0  00:00.06 6     5   55     1236K 0B    672K  32159 1     sleeping *0[3]     0.00000 0.00000    501 1839      159    236       76        1034      579       580       31      2        0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
32158  AssetCacheTether 0.0  00:00.16 2     1   27     1232K 0B    580K  32158 1     sleeping *0[1]     0.00000 0.00000    0   2221      218    84        37        759       194       684       117     25       0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
32157  triald           0.0  00:00.17 3     2   56     1648K 0B    1544K 32157 1     sleeping *0[4]     0.00000 0.00000    501 3203      179    208       73        1656      490       1250      83      14       0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
32156  AssetCache       0.0  00:00.11 5     4   55     1792K 0B    864K  32156 1     sleeping *0[6]     0.00000 0.00000    235 3096      211    142       56        1474      338       716       30      4        0.0   0      0      _assetcache            N/A    N/A   N/A   N/A   N/A   N/A  
32155  ReportMemoryExce 0.0  00:00.04 2     1   38     912K  0B    744K  32155 1     sleeping *0[3]     0.00000 0.00000    269 1528      137    127       49        902       293       362       20      1        0.0   0      0      _reportmemoryexception N/A    N/A   N/A   N/A   N/A   N/A  
32154  replayd          0.0  00:00.12 2     1   37     1128K 0B    896K  32154 1     sleeping *0[3]     0.00000 0.00000    501 3135      178    124       51        1022      285       625       142     1        0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
32153  deleted_helper   0.0  00:00.02 2     1   21     644K  0B    640K  32153 1     sleeping *0[3]     0.00000 0.00000    0   933       115    80        43        580       171       159       32      1        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
32144  sysmond          0.0  00:00.10 2     1   14     516K  0B    512K  32144 1     sleeping  0[0]     0.00000 0.00000    0   751       105    3132      1764      3314      2727      988       29      9        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
32138  plugin-container 0.0  00:00.35 22    1   98     21M   0B    20M   381   381   sleeping *0[2]     0.00000 0.00000    501 16161     2509   296       150       8114      703       6263      59      254      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
32137  dmd              0.0  00:00.25 2     1   57     2460K 0B    2456K 32137 1     sleeping *0[4]     0.00000 0.00000    501 4641      229    239       104       3700      877       1969      20      40       0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
32136  ScreenTimeAgent  0.0  00:00.36 2     1   92     3988K 0B    3984K 32136 1     sleeping *0[4]     0.00000 0.00000    501 6185      322    361       124       4324      1047      2142      94      46       0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
32135  secinitd         0.0  00:00.09 3     2   47     1220K 0B    500K  32135 1     sleeping *0[10]    0.00000 0.00000    501 2949      129    266       103       1960      551       368       3       6        0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
32134  ScreenTimeWidget 0.0  00:00.63 6     5/1 96     5920K 0B    5900K 32134 1     sleeping *3[7]     0.00000 0.00000    501 13146     623    1133      498       3589      1387      1941      730     1        0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
32133  backupd          0.0  00:00.52 5     4   48     1612K 0B    632K  32133 1     sleeping *0[1]     0.00000 0.00000    0   3924      229    1755      929       4993      1998      2725      58      11       0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
32132  backupd-helper   0.0  00:00.12 4     3   54     1156K 0B    352K  32132 1     sleeping  0[0]     0.00000 0.00000    0   2475      142    946       496       2111      1489      1166      15      24       0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
32131  plugin-container 0.0  00:00.63 22    1   98     21M   0B    20M   381   381   sleeping *0[2]     0.00000 0.00000    501 17189     2509   296       152       8911      700       9508      3332    273      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
32130  logd_helper      0.0  00:00.04 2     1   20     560K  0B    556K  32130 1     sleeping *0[1]     0.00000 0.00000    0   1317      101    65        31        400       141       199       6       1        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
32119  QuickLookSatelli 0.0  00:00.33 2     1   50     6104K 0B    6100K 32119 1     sleeping *0[3]     0.00000 0.00000    501 5455      203    239       89        3539      501       1727      63      2        0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
32118  com.apple.quickl 0.0  00:00.31 4     2   82     2376K 0B    1472K 32118 1     sleeping *0[6]     0.00000 0.00000    501 8049      215    586       260       4958      1165      2038      141     9        0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
32117  containermanager 0.0  00:01.26 5     4   53     12M   0B    9820K 32117 1     sleeping *0[2156]  0.00000 0.00000    501 9966      170    7080      4753      32649     14802     9198      5       6        0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
32116  pkd              0.0  00:00.27 3     2   66     1988K 0B    684K  32116 1     sleeping *0[12]    0.00000 0.00000    501 6452      165    514       137       3005      1192      1652      82      4        0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
32115  fileproviderd    0.0  00:00.28 4     3   80     2492K 0B    1464K 32115 1     sleeping *0[17]    0.00000 0.00000    501 6492      279    366       129       2773      817       1856      47      7        0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
32114  bird             0.0  00:00.24 2     1   66     1996K 0B    1740K 32114 1     sleeping *0[14]    0.00000 0.00000    501 4792      180    955       467       3870      1306      1809      40      14       0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
32113  com.apple.audio. 0.0  00:00.04 2     1   21     3320K 0B    3316K 32113 1     sleeping *0[2]     0.00000 0.00000    0   1768      126    83        40        609       168       122       0       2        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
32112  AudioComponentRe 0.0  00:00.06 2     1   34     1052K 0B    1048K 32112 1     sleeping *0[1]     0.00000 0.00000    0   1956      125    93        41        859       215       203       0       0        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
32111  systemsoundserve 0.0  00:00.21 3     1   112    2428K 0B    2424K 32111 1     sleeping *0[1]     0.00000 0.00000    0   4412      449    852       179       1277      1251      1873      44      3        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
32110  systemstatusd    0.0  00:00.03 2     1   41     796K  0B    792K  32110 1     sleeping *0[1]     0.00000 0.00000    0   1772      122    91        52        1235      203       115       0       1        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
32109  suhelperd        0.0  00:00.03 2     1   35     884K  0B    880K  32109 1     sleeping  0[0]     0.00000 0.00000    0   1545      156    97        37        678       210       225       4       10       0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
32108  syncdefaultsd    0.0  00:00.12 2     1   63     2584K 0B    2580K 32108 1     sleeping *0[4]     0.00000 0.00000    501 3437      216    316       127       2898      827       848       11      4        0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
32107  CloudKeychainPro 0.0  00:00.08 3     2   53     1160K 0B    1156K 32107 1     sleeping *0[1]     0.00000 0.00000    501 2151      151    177       64        1317      383       604       39      2        0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
32106  secd             0.0  00:00.25 2     1   76     3036K 0B    3024K 32106 1     sleeping *0[1]     0.00000 0.00000    501 5223      299    319       119       4565      918       1706      50      4        0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
32104  trustd           0.0  00:00.38 4     3   67     3492K 0B    1728K 32104 1     sleeping *4[59]    0.00000 0.00000    501 8445      182    351       207       6880      1666      1763      15      20       0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
32103  Keychain Circle  0.0  00:00.18 3     1   139    2644K 0B    2620K 32103 1     sleeping *0[1]     0.00000 0.00000    501 4928      289    1295      519       3380      4802      3215      3       112      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
32102  coreduetd        0.0  00:01.61 5     4   51     2688K 0B    864K  32102 1     sleeping *0[69]    0.00000 0.00000    0   13945     209    531       383       17853     4734      7466      35      10       0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
32101  contactsd        0.0  00:00.13 2     1   50     1988K 0B    1984K 32101 1     sleeping *0[6]     0.00000 0.00000    501 3466      178    181       68        1793      462       860       5       3        0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
32099  knowledge-agent  0.0  00:01.18 2     1   117    7848K 0B    7844K 32099 1     sleeping *0[7]     0.00000 0.00000    501 13908     346    477       158       10504     1463      7218      592     12       0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
32098  sysextd          0.0  00:00.06 2     1   36     1256K 0B    1252K 32098 1     sleeping *0[2]     0.00000 0.00000    0   2244      187    110       43        878       259       350       11      0        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
32097  com.apple.cmio.r 0.0  00:00.05 2     1   51     880K  0B    876K  32097 1     sleeping *0[21]    0.00000 0.00000    0   1688      127    141       67        869       331       397       0       0        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
32090  CarbonComponentS 0.0  00:00.16 2     1   40     1320K 0B    1316K 32090 1     sleeping *0[1]     0.00000 0.00000    501 2470      131    149       46        6913      525       1000      2       1        0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
32089  AudioComponentRe 0.0  00:00.10 2     1   48     1184K 0B    1180K 32089 1     sleeping *0[4]     0.00000 0.00000    501 3270      129    172       72        1250      477       528       9       2        0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
32087  gamecontrollerd  0.0  00:00.10 3     2   54     1208K 0B    884K  32087 1     sleeping *0[2]     0.00000 0.00000    247 4994      156    283       84        1719      741       1178      2       18       0.0   0      0      _gamecontrollerd       N/A    N/A   N/A   N/A   N/A   N/A  
32085  UIKitSystem      0.0  00:00.97 2     1   92     3544K 0B    3524K 32085 1     sleeping *0[8]     0.00000 0.00000    501 12888     300    1390      590       5420      2030      4406      5037    11       0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
32084  softwareupdated  0.0  00:00.56 2     1   73     3400K 0B    3396K 32084 1     sleeping  0[0]     0.00000 0.00000    200 6692      267    330       128       3174      653       3665      183     97       0.0   0      0      _softwareupdate        N/A    N/A   N/A   N/A   N/A   N/A  
32083  keybagd          0.0  00:00.14 3     2   37     868K  0B    276K  32083 1     sleeping *0[1]     0.00000 0.00000    0   2648      121    474       520       3076      1564      1112      6       2        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
32082  mobileassetd     0.0  00:01.38 4     3   59     2172K 0B    924K  32082 1     sleeping *0[9]     0.00000 0.00000    0   15189     210    201       88        16926     544       6182      117     97       0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
32078  tccd             0.0  00:00.33 3     2   56     1564K 0B    1500K 32078 1     sleeping *0[94]    0.00000 0.00000    501 6593      161    542       503       10027     2536      2219      0       14       0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
